Date,Type,Value,Price
01/07/2012,Private Enterprise,19670,
01/07/2012,Housing Associations,4510,
01/07/2012,Local Authorities,600,
01/07/2012,All,24780,179816
01/10/2012,Private Enterprise,23250,
01/10/2012,Housing Associations,5630,
01/10/2012,Local Authorities,230,
01/10/2012,All,29110,178493.3333
01/01/2013,Private Enterprise,18480,
01/01/2013,Housing Associations,5830,
01/01/2013,Local Authorities,150,
01/01/2013,All,24460,177402.6667
01/04/2013,Private Enterprise,23780,
01/04/2013,Housing Associations,4610,
01/04/2013,Local Authorities,220,
01/04/2013,All,28610,180869.6667
01/07/2013,Private Enterprise,20610,
01/07/2013,Housing Associations,5260,
01/07/2013,Local Authorities,220,
01/07/2013,All,26090,185332.6667
01/10/2013,Private Enterprise,24140,
01/10/2013,Housing Associations,5900,
01/10/2013,Local Authorities,250,
01/10/2013,All,30290,186720.6667
01/01/2014,Private Enterprise,21110,
01/01/2014,Housing Associations,6020,
01/01/2014,Local Authorities,220,
01/01/2014,All,27340,189216.3333
01/04/2014,Private Enterprise,24670,
01/04/2014,Housing Associations,5380,
01/04/2014,Local Authorities,290,
01/04/2014,All,30350,196124.3333
01/07/2014,Private Enterprise,21640,
01/07/2014,Housing Associations,5760,
01/07/2014,Local Authorities,350,
01/07/2014,All,27750,202623.3333
01/10/2014,Private Enterprise,25430,
01/10/2014,Housing Associations,6630,
01/10/2014,Local Authorities,320,
01/10/2014,All,32380,203120.3333
01/01/2015,Private Enterprise,24520,
01/01/2015,Housing Associations,9250,
01/01/2015,Local Authorities,400,
01/01/2015,All,34170,203213.3333
01/04/2015,Private Enterprise,29090,
01/04/2015,Housing Associations,7610,
01/04/2015,Local Authorities,440,
01/04/2015,All,37130,208025
01/07/2015,Private Enterprise,25610,
01/07/2015,Housing Associations,6210,
01/07/2015,Local Authorities,350,
01/07/2015,All,32170,215208
01/10/2015,Private Enterprise,31480,
01/10/2015,Housing Associations,7060,
01/10/2015,Local Authorities,470,
01/10/2015,All,39010,218252.6667
01/01/2016,Private Enterprise,25160,
01/01/2016,Housing Associations,5600,
01/01/2016,Local Authorities,650,
01/01/2016,All,31410,221217
01/04/2016,Private Enterprise,29730,
01/04/2016,Housing Associations,5930,
01/04/2016,Local Authorities,610,
01/04/2016,All,36260,226194.6667
01/07/2016,Private Enterprise,29590,
01/07/2016,Housing Associations,5800,
01/07/2016,Local Authorities,420,
01/07/2016,All,35810,230964
01/10/2016,Private Enterprise,30870,
01/10/2016,Housing Associations,7100,
01/10/2016,Local Authorities,430,
01/10/2016,All,38400,230973
01/01/2017,Private Enterprise,30270,
01/01/2017,Housing Associations,6410,
01/01/2017,Local Authorities,380,
01/01/2017,All,37050,232016.3333
01/04/2017,Private Enterprise,34590,
01/04/2017,Housing Associations,7160,
01/04/2017,Local Authorities,410,
01/04/2017,All,42160,236781
01/07/2017,Private Enterprise,30360,
01/07/2017,Housing Associations,6270,
01/07/2017,Local Authorities,360,
01/07/2017,All,36980,242025
01/10/2017,Private Enterprise,38240,
01/10/2017,Housing Associations,7450,
01/10/2017,Local Authorities,600,
01/10/2017,All,46280,241822.3333
01/01/2018,Private Enterprise,28540,
01/01/2018,Housing Associations,6290,
01/01/2018,Local Authorities,650,
01/01/2018,All,35480,241159.3333
01/04/2018,Private Enterprise,35020,
01/04/2018,Housing Associations,6730,
01/04/2018,Local Authorities,730,
01/04/2018,All,42480,243601
01/07/2018,Private Enterprise,31640,
01/07/2018,Housing Associations,6310,
01/07/2018,Local Authorities,700,
01/07/2018,All,38660,248283
01/10/2018,Private Enterprise,40020,
01/10/2018,Housing Associations,8250,
01/10/2018,Local Authorities,600,
01/10/2018,All,48870,247025.6667
01/01/2019,Private Enterprise,31590,
01/01/2019,Housing Associations,6930,
01/01/2019,Local Authorities,530,
01/01/2019,All,39050,244016.6667
01/04/2019,Private Enterprise,37200,
01/04/2019,Housing Associations,8600,
01/04/2019,Local Authorities,500,
01/04/2019,All,46310,245145.3333
01/07/2019,Private Enterprise,35220,
01/07/2019,Housing Associations,6730,
01/07/2019,Local Authorities,850,
01/07/2019,All,42800,249108.6667
01/10/2019,Private Enterprise,39680,
01/10/2019,Housing Associations,9740,
01/10/2019,Local Authorities,310,
01/10/2019,All,49720,248268.6667
01/01/2020,Private Enterprise,29100,
01/01/2020,Housing Associations,7220,
01/01/2020,Local Authorities,190,
01/01/2020,All,36510,247919.3333
01/04/2020,Private Enterprise,14180,
01/04/2020,Housing Associations,2340,
01/04/2020,Local Authorities,110,
01/04/2020,All,16640,248220.6667
01/07/2020,Private Enterprise,34380,
01/07/2020,Housing Associations,7390,
01/07/2020,Local Authorities,350,
01/07/2020,All,42110,255727.6667
01/10/2020,Private Enterprise,42370,
01/10/2020,Housing Associations,8370,
01/10/2020,Local Authorities,620,
