Year,Date,house_price_change,mortgage_rate_change,Period
2018-05,May 18,0.73,16.77852349,Normal
2018-06,Jun 18,0.79,17.56756757,Normal
2018-07,Jul 18,1.18,24.11347518,Normal
2018-08,Aug 18,0.51,22.37762238,Normal
2018-09,Sep 18,-0.24,22.14285714,Normal
2018-10,Oct 18,-0.02,16.12903226,Normal
2018-11,Nov 18,-0.38,8.695652174,Normal
2018-12,Dec 18,0.54,10.1910828,Normal
2019-01,Jan 19,-0.54,11.68831169,Normal
2019-02,Feb 19,0.39,14.09395973,Normal
2019-03,Mar 19,-0.65,11.11111111,Normal
2019-04,Apr 19,0.82,-3.488372093,Normal
2019-05,May 19,0.43,-5.172413793,Normal
2019-06,Jun 19,0.62,-5.747126437,Normal
2019-07,Jul 19,1.23,-8,Normal
2019-08,Aug 19,0.26,-9.142857143,Normal
2019-09,Sep 19,-0.15,-9.356725146,Normal
2019-10,Oct 19,-0.2,-18.33333333,Normal
2019-11,Nov 19,-0.33,-19.42857143,Normal
2019-12,Dec 19,-0.23,-17.91907514,Normal
2020-01,Jan 20,-0.71,-18.02325581,Recession
2020-02,Feb 20,-0.09,-17.64705882,Recession
2020-03,Mar 20,-0.59,-17.64705882,Recession
2020-04,Apr 20,0.69,-16.86746988,Recession
2020-05,May 20,0.11,-13.93939394,Recession
2020-06,Jun 20,0.37,-14.02439024,Recession
2020-07,Jul 20,1.07,-9.937888199,Normal
2020-08,Aug 20,0.3,0.628930818,Normal
2020-09,Sep 20,0.17,12.90322581,Normal
2020-10,Oct 20,-0.32,31.97278912,Normal
2020-11,Nov 20,-0.39,36.17021277,Normal
2020-12,Dec 20,0.09,30.98591549,Normal
2021-01,Jan 21,-0.08,24.11347518,Normal
2021-02,Feb 21,-0.47,15,Normal
2021-03,Mar 21,0.97,11.42857143,Normal
2021-04,Apr 21,-1.08,7.971014493,Normal
2021-05,May 21,0.44,3.521126761,Normal
2021-06,Jun 21,1.31,-1.418439716,Normal
2021-07,Jul 21,0.99,-11.03448276,Normal
2021-08,Aug 21,1.02,-23.125,Normal
2021-09,Sep 21,0.92,-31.42857143,Normal
2021-10,Oct 21,0.56,-33.50515464,Normal
2021-11,Nov 21,1.09,-20.3125,Normal
2021-12,Dec 21,0.98,-15.59139785,Normal
2022-01,Jan 22,0.61,-6.285714286,Normal
2022-02,Feb 22,0.23,10.55900621,Normal
2022-03,Mar 22,1.29,37.17948718,Normal
2022-04,Apr 22,-1.16,57.71812081,Normal
2022-05,May 22,-0.08,78.91156463,Normal
2022-06,Jun 22,6.34,106.4748201,Normal
2022-07,Jul 22,-5.81,169.7674419,Normal
2022-08,Aug 22,3.25,192.6829268,Normal
2022-09,Sep 22,3.75,247.5,Normal
2022-10,Oct 22,-2.63,365.1162791,Normal
,Nov 22,1.81,290.1960784,Normal
,,0.67,,
,,1.57,,
,,0.44,,
,,0.59,,
,,0.75,,
,,1.33,,
,,1.01,,
,,2.07,,
,,1.42,,
,,0.58,,
,,0.23,,
